IDENTIFIER,RESTAURANT_IDENTIFIER,DISHES_IDS,PAYMENT_METHOD,AMOUNT,CREATED_AT
7035,2,"[2, 13, 3]",meal_ticket,15,2022-09-29 18:29:45
3907,7,[10],cash,7,2022-09-03 09:33:11
5011,1,"[18, 1]",cash,12,2022-09-12 15:33:00
741,4,"[9, 26, 19, 1]",cash,35,2022-08-07 12:25:07
5486,2,[18],meal_ticket,6,2022-09-16 16:39:20
1132,7,[21],meal_ticket,5,2022-08-10 18:57:07
1016,3,"[6, 1, 13, 4]",cheque,24,2022-08-09 18:44:29
2685,2,"[14, 16, 3, 25]",cash,27,2022-08-23 20:25:23
1259,2,"[4, 2]",card,11,2022-08-11 19:29:24
5612,3,[3],cheque,4,2022-09-17 18:02:35
4161,6,"[20, 16, 19]",meal_ticket,21,2022-09-05 12:00:09
2588,2,"[3, 27, 18]",cash,22,2022-08-22 23:40:16
2183,2,"[10, 17]",cheque,10,2022-08-19 16:57:23
3823,6,[28],cheque,14,2022-09-02 14:37:15
3951,7,"[18, 11, 19, 21]",cash,24,2022-09-03 16:13:46
6078,2,[1],cheque,6,2022-09-21 16:19:22
808,4,"[19, 20, 14]",cash,22,2022-08-07 21:31:51
3622,1,[3],cash,4,2022-08-31 19:36:29
1739,5,"[15, 21]",meal_ticket,15,2022-08-15 20:39:08
1364,1,"[21, 16]",cash,11,2022-08-12 18:01:53
5639,5,[28],meal_ticket,14,2022-09-17 21:15:32
4326,3,"[17, 13, 4]",cheque,9,2022-09-06 19:29:43
4081,1,"[19, 3, 4]",cash,14,2022-09-04 18:31:05
4928,2,"[17, 8, 29, 20]",meal_ticket,31,2022-09-11 20:44:36
3991,1,[16],cash,6,2022-09-03 21:18:15
1206,7,"[14, 17]",meal_ticket,10,2022-08-11 12:40:54
6065,5,"[15, 1, 16]",meal_ticket,22,2022-09-21 14:55:29
3095,1,[24],cash,11,2022-08-27 12:34:56
3597,1,"[20, 11]",cash,14,2022-08-31 16:46:59
